text,labels_int,labels,llama3,mistral,is_opinative,gemma2,gpt-3.5-turbo-0125,cachaca
"Entrega no mesmo dia para SP Capital e região para compras até às 12h.

@cachaca_colombina @brisadaserra_destilaria @cachaca_sebastiana @cachacacabare @cachaca.retirovelho
 @cachacapinganimim @cachacabocainaoficial @velhoalambiquecachacaria

#diadospais #presentes https://t.co/v8NstfqPxn",1.0,neutral,neutral,neutral,False,neutral,positive,true
"Que tal um final de semana relaxante? Com estas bebidas mistas com Jambu seu final de semana irá tremer 😛

Foi na beira do rio Tapajós que nasceu a Jós Brasil. Daí a origem do nome.

O rio, atualmente, faz parte do cotidiano das aldeias, comunidade e cidades que vivem em seu https://t.co/SyXP8scbnj",1.0,neutral,positive,positive,True,positive,positive,false
Acabou de publicar uma foto https://t.co/n2cCbUFxvm,1.0,neutral,neutral,neutral,False,neutral,neutral,none
"Quer falar com a Moça Bonita? Anota aí nosso WhatsApp 📲

#cachaça #alambique #cabaré #cerveja #drinks #presentescriativos #vinho #cachaca #caipirinha #pinga https://t.co/Y93w2F9D4X",1.0,neutral,neutral,positive,False,positive,neutral,true
"CACHAÇA DE HOJE
Cachaça Acqua Benta Ouro 500ml
 https://t.co/hPoeMCOCeH",1.0,neutral,neutral,neutral,False,neutral,neutral,true
"CACHAÇA DE HOJE
Cachaca da Tulha Jequitiba 750ml
 https://t.co/x5GLH6HY9n",1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar um vídeo em Empório Cachaça Canela-de-Ema https://t.co/XbBNWYoqkc,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar um vídeo em Empório Cachaça Canela-de-Ema https://t.co/5cfFGXliRl,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar uma foto em Empório Cachaça Canela-de-Ema https://t.co/DUctet1dig,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar um vídeo em Empório Cachaça Canela-de-Ema https://t.co/FqkO360MrE,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar uma foto em Empório Cachaça Canela-de-Ema https://t.co/o5zJ5a8dos,1.0,neutral,neutral,neutral,False,neutral,neutral,true
Acabou de publicar uma foto em Empório Cachaça Canela-de-Ema https://t.co/UKXX4Cg6E1,1.0,neutral,neutral,neutral,False,neutral,neutral,true
"Cachaça Havana Original, de Salinas-MG.

Aproveite essa promoção!!!

FRETE GRÁTIS PARA TODO O BRASIL 

https://t.co/sMaMHYnCMR https://t.co/rWScuvktP1",1.0,neutral,positive,positive,True,positive,positive,true
A acidez da Cachaça https://t.co/zfDb3Q6XrR,1.0,neutral,neutral,neutral,True,neutral,neutral,true
"Licensa de instalação e operação do alambique Cachaça Cenela-de-Ema.

Em breve todos terão a oportunidade de experimentar a Cachaça Canela-de-Ema.

Acesse esse post do nosso blog e conheça um pouco mais sobre nossa… https://t.co/RRVixlxbP6",1.0,neutral,positive,neutral,False,positive,positive,true
"Cachaça Melicana produzida em Bom Despacho MG. 

Você encontra os melhores preços no Empório Cachaça Canela-de-Ema.

E com FRETE GRÁTIS PARA TODO O… https://t.co/2TEiml9W4R",1.0,neutral,neutral,neutral,True,neutral,positive,true
"FRETE GRÁTIS PARA TODO O BRASIL https://t.co/AQ3ELdRQ9H do nosso Empório não tem.

Confura algus  produtos que estão em promoção em nossa loja.

Para ver todas as promoções acesse:… https://t.co/yEdC8ykvFI",1.0,neutral,neutral,negative,True,neutral,positive,true
"A Cachaça deixa sua comida mais gostosa, agrega valor, possiblta outros aromas, sabores e consistência às receitas além de harmonizar com dversos pratos. https://t.co/897sgbg85T",1.0,neutral,positive,positive,True,positive,positive,true
"Dicas de Como Comprar Cachaça ou Aguardente.
São descritas 5 dicas de como comprar cacha em garrafa e 5 dica de como comprar a granel. Saúde!
Um gole, uma flor, um sorriso a todos https://t.co/05VQUfE0wi",1.0,neutral,positive,positive,True,neutral,positive,true
