text,cachaca
Tô esperando a minha amostra grátis 😭😢,False
tira o jiló,True
"Mandei email há dias, mas ninguém respondeu",False
Pela bagatela de quanto esse kit maravilhoso ????,False
Amo cachaça!! Preciso fazer um curso para entender tudo dessa bebida maravilhosa,True
Arara azul Ouro,True
meu marido adorou e ja ta querendo um maior.kkkkkkkkkkk,True
Voto com o relator!!,False
Safra Mineira,True
Ah para nao tem 15 anos de cabare deles nao. Deve ter uns 10 mas 15 acho q nao,False
"Ja fui, é muito bom!! Pena que estava chovendo",True
Uma artesanal feita aqui .perto da minha casa!!,True
Chique,False
Com certeza !?,True
E pra nóis heheheh,True
Leonardo quando você vai cantar com a marília mendonça,False
"Vale verde
Frederico Jordano Ferreira",False
Whelyton Aragão Pinheiro Ediwilson Antonio Flavio Werner Junior Granzotto Elaine X Erikson Sonny,False
Estou  ansiosa  esperando,False
São sarue,False
Vou comprar,False
Evilanny Lima quero🙂,False
Ivaldo Tavares tua cana aí.,True
Outra boa opção é a Weber Haus 7 Madeiras.,True
Lorenzo Araya,False
Eduardo Costa grita cantando abafa a vós linda do Leonardo,True
"Parabéns, precisamos de ótimas cachaças sim",True
Divo,False
Uau. Muito boa.,False
Aiii que delícia,True
José Adolfo Mota de Almeida,True
Caramba!!!,False
"Sacanagem, ninguém me chamo para tomar um gole. Magoei",True
Essa e das minhas,True
Gisele Flôr  n sei pq mas lembrei de vc 😂,False
"Hehehe, quero uma dose",True
Deixou a moqueca bêbada kkkk,True
Gatos. So da cabare o asucar kkkkkk adoro as musicas de vcs dois vcs sao de mais e canta de mais,False
Prefiro a Canarinha!!!,True
Essa é uma delícia....,True
Sinomar Lopes da Silva Lucio Lucatelli kkkkk,False
Marcelo S. Bonilha Filho e Camila Pontes Ferreira,False
Nossa! Bom d mais pretendo adiquiri em dezembro. Ainda vai ter um desses?,True
Se associando quanto fica com a sexta cana,True
Realmente é uma ótima cachaça.,True
"Uma das minhas preferidas,",True
Bom dia!!!,False
Cachaça de amigo do bozo eu não tomo!😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆😆,True
Qual o nome da dupla ?,False
Onde comprar..,True
Turmalina da serra sem dúvida,True
Qual o valor?,False
Álcool...,True
Maria andante bao demais,False
Marcelo de Castro vamos?,True
Denise Ribeiro Amorim Mateus Vinícius,False
Uma garrafa dessa não dura dois dias aqui em casa!,True
Tenho q provar,True
"Tinha que vir pra Andradina, ir ate ai é longe. 😢",False
Paty Barbosa,True
Suelem Poliana ai vc,False
O grande problema é  o frete? Que chega a custar em algumas situações mais caro do que o peço da cachaça.,True
Wanderson Silva,False
"Aproveite oferta especial em todos os produtos da loja com 10% de desconto , basta inserir o cupom bemvindo10",False
"Parabéns pessoa linda e maravilhosa, Deus abençoe cada dia mais. Felicidades saúde e muito sucesso. Abs. Adenilde e Marcelo.",False
Maria Aldenize Patricia Maria Borges Karlene Maria da Silva,False
Copo 3,False
ja está fazendo efeito kkkkkkkkkkkk,True
Gostei do copo,True
Michel Monteiro Lucélia Lourenço Medeiros Cristiane Philipp,False
Parabéns!!!!!!!!,False
Rodrigo Cinto Marques,False
Olha isso Edimar Vanelli,False
Eu quero !!!!,False
Toooooop 😍😍😍👏🏼👏🏼👏🏼👏🏼,False
Muito bom trabalhar com uma empresa incrível como a Amburana! Muito obrigado!,False
Mayra Santos,False
"Só faltou falar a onde fica essa riqueza, lógico que fica em chã grande a cidade com melhor clima de Pernambuco",False
Serra limpa dr falkynner vamos tomar quando,True
O blend de varias que descansam no meu barril,True
Eu Quero,False
Marluce Ambientalista ja provei são ótimas!!!,False
Paduana amarela,True
Imperdível,False
Caracas ainda não provei...kkk,False
Gosto de uma boa cachaça.,True
Excelente programa,False
Cobiçada,False
Thales Paiva Martins olhe isto aí.,False
Ouro 1,False
Muito saboroso,True
Isto deve ser uma delícia...,True
Se o Lula for. ....eu vou kikikikiki,False
Cachaça Imperial Sabor Bálsamo .,True
SHOWW!!,False
Um luxo,False
"Olha ai , Thiago Lacerda .",False
Nesse frio nada melhor q uma boa cachaça e um tira gosto hummmm,True
Lindo adoro,False
Só coisa boa!,False
Conheci o mundo da cachaça através da Germana. Foi amor à primeira vista.,True
Sergio Bellini,False
#MENAJE A TRUÁ 👏🍸,True
Eduardo Costa é pancada,False
É isso ai,False
Burarama 12 anos,False
Endereço psra uma visita.,False
"Elany Pauzen
Lucas Pauzen",False
Fausto Franco,False
👏👏👏👏👏👏👏,False
"Vanessa Vieira, Camila Dantas e Roberta Dantas",False
Americano,False
Coisa boa,False
Olha só Drielly sua cara!,False
Definitivamente SIM.,True
"Aproveite oferta especial em todos os produtos da loja com 10% de desconto , basta inserir o cupom bemvindo10",False
Wanderson Rayane Monica Cristina Duarte Vieira Marcos Vieira aprende aí kkkkkkkkkkk kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,False
Vcs tem algum single malt turfado?,False
Parabéns! o meio ambiente agradece.,False
Esta tem duas grandes marcas.,False
https://www.cachacarianacional.com.br/produto/livro-segredos-da-cachaca-joao-almeida-e-leandro-dias-102521,True
Receitas ótimas ! Parabéns 👏🏼👏🏼👏🏼,False
Essa é a melhor!!,True
Eu sou super fã do cantor Leonardo,False
"Raaapaaazzz 👏👏👏veja cantor MARCOS VINNY ll ...tóoop dmaaaiiisss da conta sô! 
..precisamos fazer uma visita lá sô 😆",False
"Velha Januária, costela fogo de chão!",True
Abri uma espírito de Minas.,True
Amo cachaça!!!,True
Raphael Henrique,False
Umburana...demais!!!,True
Estas são p elite. Os cachaceiros  nem as conhecem e nem tem  condições de compra-las,True
Já comprei e recomendo.,True
1- CURTIR https://www.facebook.com/pages/Cachaça-é-Presente/185525291482202,True
Paula Vanalli,False
Parabéns!!! Muita saúde👏🏻👏🏻👏🏻👏🏻,False
Infelizmente não os conheci 😩,False
Eu...daqui a pouco....,False
Up,False
Paiolinho.,True
51 😆,False
Que bom esse trabalho que a empresa Sanhaçu fornece para muitos lugares parabéns pela determinação !!,False
Marty Friedman hahaha,False
Selma Grotta e Camila Grotta,False
Eita misera kkkkk aja figado,False
Obrigada. Lhe devo um favor!,False
